gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_direction_combined_x,gaze_direction_combined_y,gaze_direction_combined_z,gaze_origin_left_x,gaze_origin_left_y,gaze_origin_left_z,gaze_origin_right_x,gaze_origin_right_y,gaze_origin_right_z,pupil_diameter_left,pupil_diameter_right,pupil_position_left_x,pupil_position_left_y,pupil_positi_right_x,pupil_positin_right_y,eye_open_left,eye_open_right,time,validity,emotion
0.1006622,-0.2958832,0.9498901,0.2084351,-0.1182251,-0.1182251,0.1006622,-0.2958832,0.9498901,0,0,0,0,0,0,4.332993,4.316452,0.4766805,0.9415473,0.2532308,0.8565916,1,1,1.19749,True,False
0,0,0,0.04811096,-0.1076965,-0.1076965,0.04811096,-0.1076965,0.9930115,0,0,0,0,0,0,-1,4.367676,-1,-1,0.2843432,0.8573831,1,1,1.209035,True,False
0,0,0,0.04472351,-0.09353638,-0.09353638,0.04472351,-0.09353638,0.9945984,0,0,0,0,0,0,-1,4.362869,-1,-1,0.2843432,0.8558276,1,1,1.220967,True,False
0,0,0,0.05941772,-0.1012421,-0.1012421,0.05941772,-0.1012421,0.9930725,0,0,0,0,0,0,-1,4.363693,-1,-1,0.2819235,0.8566054,1,1,1.233007,True,False
0,0,0,0.07244873,-0.1453857,-0.1453857,0.07244873,-0.1453857,0.9867096,0,0,0,0,0,0,-1,4.298248,-1,-1,0.2791696,0.8645722,0.7361346,0.9969777,1.244639,True,False
0,0,0,0.07466125,-0.1355438,-0.1355438,0.07466125,-0.1355438,0.9879456,0,0,0,0,0,0,-1,4.300079,-1,-1,0.2788355,0.8623765,1,1,1.255719,True,False
0,0,0,0.1475067,-0.09048462,-0.09048462,0.1475067,-0.09048462,0.9849091,0,0,0,0,0,0,-1,4.166046,-1,-1,0.2625159,0.8619812,1,1,1.267603,True,False
0,0,0,0.2339935,-0.08346558,-0.08346558,0.2339935,-0.08346558,0.9686432,0,0,0,0,0,0,-1,4.17215,-1,-1,0.2526228,0.8478053,1,1,1.278726,True,False
0,0,0,0.1430359,-0.1110535,-0.1110535,0.1430359,-0.1110535,0.9834595,0,0,0,0,0,0,-1,4.018951,-1,-1,0.2713164,0.8600545,1,1,1.289797,True,False
0,0,0,0.1826935,-0.1255035,-0.1255035,0.1826935,-0.1255035,0.9751129,0,0,0,0,0,0,-1,3.925217,-1,-1,0.2630604,0.860771,1,1,1.300877,True,False
0,0,0,0.1798553,-0.1132355,-0.1132355,0.1798553,-0.1132355,0.9771423,0,0,0,0,0,0,-1,3.916779,-1,-1,0.2641259,0.8596249,1,1,1.312024,True,False
0,0,0,0.2106934,-0.04196167,-0.04196167,0.2106934,-0.04196167,0.9766388,0,0,0,0,0,0,-1,4.101517,-1,-1,0.2587354,0.8491299,1,1,1.323134,True,False
0,0,0,0.2567902,-0.00239563,-0.00239563,0.2567902,-0.00239563,0.9664612,0,0,0,0,0,0,-1,4.134872,-1,-1,0.2447168,0.848516,1,1,1.334353,True,False
0,0,0,0.1931458,-0.03115845,-0.03115845,0.1931458,-0.03115845,0.9806671,0,0,0,0,0,0,-1,4.027344,-1,-1,0.256908,0.8546636,1,1,1.345447,True,False
0,0,0,0.2836304,0.07623291,0.07623291,0.2836304,0.07623291,0.9558868,0,0,0,0,0,0,-1,4.276489,-1,-1,0.2402342,0.8386179,1,1,1.356755,True,False
0,0,0,0.1186523,-0.08837891,-0.08837891,0.1186523,-0.08837891,0.9889832,0,0,0,0,0,0,-1,4.180847,-1,-1,0.2740504,0.8545403,1,1,1.367792,True,False
0.009796143,-0.2946014,0.9555664,0.1712952,-0.1127167,-0.1127167,0.009796143,-0.2946014,0.9555664,0,0,0,0,0,0,3.789536,3.806961,0.4966161,0.931182,0.2673205,0.8577636,1,1,1.37875,True,False
0,0,0,0.1807556,-0.02864075,-0.02864075,0.1807556,-0.02864075,0.9830933,0,0,0,0,0,0,-1,3.89389,-1,-1,0.2610414,0.8570128,1,1,1.389872,True,False
0,0,0,0.07173157,-0.08476257,-0.08476257,0.07173157,-0.08476257,0.9938049,0,0,0,0,0,0,-1,4.045792,-1,-1,0.2759619,0.8694635,1,1,1.400938,True,False
